Number of CPUs,Seconds,GFLOPS,Precision
1, , ,Single
1, , ,Double
2, 10.637948, 188.006179,Single
2, , ,Double
3, 7.125354, 280.687820,Single
3, 15.110244, 132.360533,Double
4, 5.477397, 365.136938,Single
4, 11.781769, 169.753794,Double
5, 4.283565, 466.900851,Single
5, 9.515389, 210.185845,Double
6, 3.872258, 516.494484,Single
6, 8.029142, 249.092632,Double
7, 3.092060, 646.817978,Single
7, 6.541243, 305.752289,Double
8, 2.855591, 700.380492,Single
8, 6.825025, 293.039214,Double
9, 2.676166, 747.337711,Single
9, 5.858508, 341.383855,Double
10, 2.490749, 802.971233,Single
10, 5.351467, 373.729329,Double
11, 2.107985, 948.773234,Single
11, 4.251370, 470.436643,Double
12, 2.065154, 968.450751,Single
12, 4.838156, 413.380675,Double
13, 2.058389, 971.633663,Single
13, 4.756472, 420.479723,Double
14, 1.850323, 1080.892148,Single
14, 4.184718, 477.929477,Double
15, 1.749358, 1143.276706,Single
15, 4.333929, 461.475035,Double
16, 1.622446, 1232.707023,Single
16, 4.617186, 433.164225,Double
17, 1.580672, 1265.284502,Single
17, 3.660031, 546.443473,Double
18, 1.548854, 1291.276980,Single
18, 3.813428, 524.462507,Double
19, 1.619881, 1234.658755,Single
19, 3.512473, 569.399451,Double
20, 1.427399, 1401.149506,Single
20, 3.470345, 576.311578,Double
21, 1.496004, 1336.894608,Single
21, 3.165380, 631.835717,Double
22, 1.441578, 1387.368146,Single
22, 2.975764, 672.096396,Double
23, 1.434595, 1394.121230,Single
23, 3.268641, 611.875064,Double
24, 1.271974, 1572.359070,Single
24, 2.911269, 686.985652,Double
25, 1.228182, 1628.422969,Single
25, 2.853815, 700.816249,Double
26, 1.237024, 1616.783023,Single
26, 2.773016, 721.236402,Double
27, 1.213126, 1648.632705,Single
27, 2.426936, 824.084325,Double
28, 1.230807, 1624.949596,Single
28, 2.546698, 785.330568,Double
29, 1.211426, 1650.946787,Single
29, 2.577525, 775.938022,Double
30, 1.196012, 1672.224546,Single
30, 2.830305, 706.637516,Double
31, 1.152019, 1736.081798,Single
