Number of CPUs,Seconds,GFLOPS,Precision
93, 2.293380, 872.075125,Single
93, 3.954644, 505.734567,Double
94, 2.058651, 971.510158,Single
94, 4.018824, 497.658012,Double
95, 2.354722, 849.357304,Single
95, 3.916030, 510.721253,Double
96, 2.020868, 989.673846,Single
96, 3.889888, 514.153557,Double
97, 1.941545, 1030.107221,Single
97, 3.848277, 519.713079,Double
98, 2.595429, 770.585431,Single
98, 3.905598, 512.085536,Double
99, 1.984046, 1008.041035,Single
99, 3.951022, 506.198091,Double
100, 2.299773, 869.651083,Single
100, 4.036285, 495.505166,Double
101, 1.947205, 1027.113422,Single
101, 3.943339, 507.184368,Double
102, 2.341536, 854.140222,Single
102, 4.097209, 488.137151,Double
103, 2.437402, 820.545655,Single
103, 4.069243, 491.491944,Double
104, 2.253518, 887.501053,Single
104, 4.144884, 482.522530,Double
105, 2.155360, 927.919424,Single
105, 4.055339, 493.176991,Double
106, 2.149079, 930.631191,Single
106, 4.236311, 472.108872,Double
107, 2.479561, 806.594457,Single
107, 4.231127, 472.687292,Double
108, 2.472846, 808.784762,Single
108, 4.297029, 465.437907,Double
109, 2.424795, 824.811991,Single
109, 4.265395, 468.889715,Double
110, 2.105221, 950.019038,Single
110, 4.265327, 468.897264,Double
111, 2.218206, 901.629448,Single
111, 4.348066, 459.974649,Double
112, 2.090138, 956.874845,Single
112, 4.493728, 445.064750,Double
113, 2.507128, 797.725612,Single
113, 4.067368, 491.718509,Double
114, 3.213478, 622.378527,Single
114, 4.709433, 424.679591,Double
115, 2.772417, 721.392125,Single
115, 4.265178, 468.913572,Double
116, 2.666960, 749.917604,Single
116, 4.319873, 462.976611,Double
117, 2.844328, 703.153698,Single
117, 4.339505, 460.882033,Double
118, 2.569716, 778.296035,Single
118, 3.540900, 564.828230,Double
119, 2.527918, 791.164807,Single
119, 4.515922, 442.877467,Double
120, 2.628251, 760.962195,Single
120, 4.405091, 454.020119,Double
121, 2.609751, 766.356579,Single
121, 4.582205, 436.471106,Double
122, 2.643498, 756.573169,Single
122, 4.290941, 466.098282,Double
123, 2.665558, 750.311946,Single
123, 4.526857, 441.807631,Double
124, 2.931868, 682.159020,Single
124, 4.634599, 431.536773,Double
125, 2.411379, 829.400981,Single
125, 4.539470, 440.580027,Double
126, 2.259743, 885.056277,Single
126, 4.908958, 407.418433,Double
127, 2.270500, 880.863426,Single
127, 3.737979, 535.048522,Double
128, 2.689458, 743.644173,Single
128, 4.538008, 440.722048,Double
