Number of CPUs,Seconds,GFLOPS,Precision
1, , ,Single
1, , ,Double
2, 10.605632, 188.579045,Single
2, , ,Double
3, 7.104704, 281.503629,Single
3, 15.061200, 132.791546,Double
4, 5.482544, 364.794149,Single
4, 11.817630, 169.238673,Double
5, 4.284971, 466.747647,Single
5, 9.618616, 207.930127,Double
6, 3.788033, 527.978573,Single
6, 8.120472, 246.291108,Double
7, 3.123886, 640.228288,Single
7, 6.611274, 302.513552,Double
8, 2.891903, 691.586112,Single
8, 6.935149, 288.386019,Double
9, 2.643603, 756.543175,Single
9, 6.041143, 331.063155,Double
10, 2.462023, 812.340255,Single
10, 5.342096, 374.384881,Double
11, 2.136658, 936.041100,Single
11, 4.259285, 469.562427,Double
12, 2.080414, 961.347097,Single
12, 4.845960, 412.714888,Double
13, 2.086968, 958.328166,Single
13, 4.794304, 417.161671,Double
14, 1.808061, 1106.157445,Single
14, 4.158087, 480.990452,Double
15, 1.750741, 1142.373729,Single
15, 4.339220, 460.912304,Double
16, 1.633588, 1224.298997,Single
16, 4.646823, 430.401550,Double
17, 1.713631, 1167.112202,Single
17, 3.647703, 548.290305,Double
18, 1.578872, 1266.727414,Single
18, 3.707720, 539.415006,Double
19, 1.691317, 1182.510624,Single
19, 3.682515, 543.107047,Double
20, 1.410609, 1417.827178,Single
20, 3.254035, 614.621514,Double
21, 1.447593, 1381.603747,Single
21, 3.483493, 574.136294,Double
22, 1.346384, 1485.460309,Single
22, 3.232498, 618.716536,Double
23, 1.560149, 1281.929171,Single
23, 3.159637, 632.984073,Double
24, 1.323493, 1511.153148,Single
24, 2.894313, 691.010151,Double
25, 1.229266, 1626.987339,Single
25, 2.836994, 704.971526,Double
26, 1.256894, 1591.224671,Single
26, 2.909798, 687.332935,Double
27, 1.241755, 1610.623167,Single
27, 2.397570, 834.177778,Double
28, 1.217951, 1642.102375,Single
28, 2.519974, 793.658892,Double
29, 1.172224, 1706.158649,Single
29, 2.491570, 802.706785,Double
30, 1.240575, 1612.156045,Single
30, 2.796163, 715.265958,Double
31, 1.166853, 1714.012589,Single
