Number of CPUs,Seconds,GFLOPS,Precision
93, 1.995495, 1002.257717,Single
93, 2.968122, 673.826853,Double
94, 2.134393, 937.034380,Single
94, 3.227501, 619.674510,Double
95, 2.281919, 876.455471,Single
95, 3.153666, 634.182484,Double
96, 1.942384, 1029.662623,Single
96, 3.255079, 614.424455,Double
97, 1.825376, 1095.664402,Single
97, 3.009119, 664.646342,Double
98, 1.874375, 1067.022621,Single
98, 2.874661, 695.734132,Double
99, 1.730123, 1155.987441,Single
99, 2.984831, 670.054623,Double
100, 1.753079, 1140.849626,Single
100, 3.236327, 617.984519,Double
101, 1.716902, 1164.888921,Single
101, 3.202066, 624.596842,Double
102, 2.154836, 928.145036,Single
102, 3.272062, 611.235284,Double
103, 2.196025, 910.736515,Single
103, 3.415484, 585.568499,Double
104, 2.138164, 935.381827,Single
104, 3.261506, 613.213701,Double
105, 1.778404, 1124.603696,Single
105, 2.983261, 670.407274,Double
106, 2.025473, 987.423762,Single
106, 3.241531, 616.992359,Double
107, 2.829590, 706.816085,Single
107, 3.475150, 575.514659,Double
108, 1.845824, 1083.526737,Single
108, 3.329600, 600.672679,Double
109, 1.695618, 1179.510999,Single
109, 3.477952, 575.051019,Double
110, 1.953532, 1023.786847,Single
110, 2.922244, 684.405432,Double
111, 1.749405, 1143.245979,Single
111, 3.516215, 568.793396,Double
112, 1.919305, 1042.043608,Single
112, 2.883905, 693.504011,Double
113, 2.164303, 924.084926,Single
113, 3.707269, 539.480688,Double
114, 2.354344, 849.493461,Single
114, 3.015660, 663.204711,Double
115, 2.402864, 832.340039,Single
115, 3.780358, 529.050380,Double
116, 2.627397, 761.209540,Single
116, 2.875029, 695.645270,Double
117, 1.824905, 1095.947497,Single
117, 3.380287, 591.665817,Double
118, 2.166707, 923.059625,Single
118, 3.620688, 552.381253,Double
119, 2.242423, 891.892370,Single
119, 3.292723, 607.400031,Double
120, 2.062793, 969.559190,Single
120, 2.472899, 808.767349,Double
121, 2.019145, 990.518372,Single
121, 3.844033, 520.286962,Double
122, 1.992397, 1003.816172,Single
122, 3.379668, 591.774113,Double
123, 3.169731, 630.968456,Single
123, 3.885114, 514.785372,Double
124, 2.786243, 717.812526,Single
124, 3.449925, 579.722664,Double
125, 2.513230, 795.788624,Single
125, 3.955105, 505.675533,Double
126, 1.785079, 1120.398369,Single
126, 3.412963, 586.001031,Double
127, 2.091196, 956.390714,Single
127, 3.546402, 563.951916,Double
128, 2.163177, 924.566125,Single
128, 2.845126, 702.956556,Double
