Number of CPUs,Seconds,GFLOPS,Precision
1, , ,Single
1, , ,Double
2, 10.538034, 189.788728,Single
2, , ,Double
3, 7.082967, 282.367550,Single
3, 14.640281, 136.609400,Double
4, 5.248547, 381.057821,Single
4, 10.866126, 184.058233,Double
5, 4.323250, 462.614922,Single
5, 8.770097, 228.047637,Double
6, 3.624450, 551.807918,Single
6, 7.518303, 266.017462,Double
7, 3.191950, 626.576177,Single
7, 6.465609, 309.328948,Double
8, 2.806312, 712.679016,Single
8, 5.703948, 350.634317,Double
9, 2.513617, 795.666037,Single
9, 5.247305, 381.148023,Double
10, 2.313754, 864.396070,Single
10, 4.701173, 425.425767,Double
11, 2.173083, 920.351362,Single
11, 4.468495, 447.578035,Double
12, 2.004673, 997.668701,Single
12, 4.058757, 492.761671,Double
13, 1.842992, 1085.191801,Single
13, 3.831728, 521.957767,Double
14, 1.758931, 1137.054069,Single
14, 3.692930, 541.575332,Double
15, 1.697187, 1178.420823,Single
15, 3.512437, 569.405222,Double
16, 1.559020, 1282.856916,Single
16, 3.280192, 609.720322,Double
17, 1.549743, 1290.536615,Single
17, 3.475260, 575.496500,Double
18, 1.465327, 1364.882934,Single
18, 3.428142, 583.406351,Double
19, 1.593382, 1255.191667,Single
19, 3.177956, 629.335392,Double
20, 1.423375, 1405.110601,Single
20, 2.695339, 742.021605,Double
21, 1.429803, 1398.794284,Single
21, 2.675836, 747.429844,Double
22, 1.403843, 1424.660628,Single
22, 2.583317, 774.198549,Double
23, 1.361746, 1468.702352,Single
23, 2.527487, 791.299937,Double
24, 1.319150, 1516.127352,Single
24, 2.449429, 816.516976,Double
25, 1.356225, 1474.681787,Single
25, 2.499176, 800.263872,Double
26, 1.348008, 1483.670651,Single
26, 2.456075, 814.307316,Double
27, 1.367760, 1462.244308,Single
27, 2.481381, 806.002625,Double
28, 1.404105, 1424.394493,Single
28, 2.523331, 792.603174,Double
29, 1.440899, 1388.021934,Single
29, 2.710083, 737.984643,Double
30, 2.004785, 997.613295,Single
30, 2.509976, 796.820370,Double
31, 1.463701, 1366.399684,Single
