Number of CPUs,Seconds,GFLOPS,Precision
31, 2.525151, 792.031852,Double
32, 1.191894, 1678.002026,Single
32, 2.569120, 778.476592,Double
33, 1.376680, 1452.770620,Single
33, 2.500096, 799.969262,Double
34, 1.212523, 1649.453811,Single
34, 2.426821, 824.123423,Double
35, 1.214441, 1646.848496,Single
35, 2.501911, 799.389083,Double
36, 1.192065, 1677.760813,Single
36, 2.473135, 808.690205,Double
37, 1.845568, 1083.677319,Single
37, 2.969277, 673.564614,Double
38, 1.225928, 1631.417113,Single
38, 2.556790, 782.230794,Double
39, 1.391241, 1437.565959,Single
39, 2.511213, 796.427991,Double
40, 1.236342, 1617.675937,Single
40, 2.533565, 789.401361,Double
41, 1.307725, 1529.373967,Single
41, 2.537195, 788.272086,Double
42, 1.328326, 1505.655033,Single
42, 2.663956, 750.763242,Double
43, 1.472187, 1358.523431,Single
43, 2.586420, 773.269688,Double
44, 1.320640, 1514.416889,Single
44, 2.707302, 738.742874,Double
45, 1.522123, 1313.954387,Single
45, 4.487777, 445.654987,Double
46, 1.385077, 1443.962616,Single
46, 3.077405, 649.898312,Double
47, 1.341047, 1491.372458,Single
47, 2.740528, 729.786336,Double
48, 1.357503, 1473.293069,Single
48, 2.768306, 722.463474,Double
49, 1.415679, 1412.749726,Single
49, 2.599846, 769.276436,Double
50, 1.400932, 1427.621165,Single
50, 2.387381, 837.738263,Double
51, 1.385287, 1443.743749,Single
51, 2.898817, 689.936665,Double
52, 1.413074, 1415.354151,Single
52, 2.703339, 739.825779,Double
53, 1.740920, 1148.817794,Single
53, 2.904592, 688.564857,Double
54, 1.716236, 1165.340784,Single
54, 2.734704, 731.340552,Double
55, 1.440736, 1388.178992,Single
55, 2.715600, 736.485442,Double
56, 1.463645, 1366.451927,Single
56, 2.802867, 713.554980,Double
57, 1.483532, 1348.134002,Single
57, 2.698349, 741.193837,Double
58, 1.421312, 1407.150478,Single
58, 2.859380, 699.452309,Double
59, 1.501244, 1332.228886,Single
59, 2.791632, 716.426916,Double
60, 1.685162, 1186.829560,Single
60, 2.973290, 672.655638,Double
61, 1.652281, 1210.447605,Single
61, 3.437449, 581.826741,Double
62, 1.540153, 1298.572171,Single
62, 2.960606, 675.537475,Double
63, 1.549457, 1290.774422,Single
63, 2.958543, 676.008323,Double
64, 1.509632, 1324.826622,Single
64, 2.992101, 668.426728,Double
65, 1.662358, 1203.110217,Single
65, 3.089180, 647.420949,Double
66, 1.631342, 1225.984291,Single
66, 3.043290, 657.183589,Double
67, 1.794542, 1114.490372,Single
67, 2.966513, 674.192336,Double
68, 1.689079, 1184.077104,Single
68, 3.136704, 637.611998,Double
69, 1.759630, 1136.602436,Single
69, 3.120467, 640.929728,Double
70, 1.723855, 1160.190520,Single
70, 3.198205, 625.350851,Double
71, 1.741445, 1148.471785,Single
71, 3.332424, 600.163664,Double
72, 1.753204, 1140.768587,Single
72, 3.147104, 635.504957,Double
73, 1.980938, 1009.622618,Single
73, 3.324870, 601.527312,Double
74, 1.965417, 1017.595529,Single
74, 3.345543, 597.810336,Double
75, 1.932582, 1034.884699,Single
75, 3.364154, 594.503028,Double
76, 1.810874, 1104.438931,Single
76, 3.325827, 601.354129,Double
77, 1.822518, 1097.383021,Single
77, 3.362820, 594.738855,Double
78, 1.878240, 1064.826871,Single
78, 3.402905, 587.733127,Double
79, 1.791996, 1116.073815,Single
79, 3.442700, 580.939378,Double
80, 1.951701, 1024.747343,Single
80, 3.542071, 564.641473,Double
81, 1.785601, 1120.071192,Single
81, 3.459585, 578.104056,Double
82, 1.941782, 1029.981711,Single
82, 3.383845, 591.043705,Double
83, 1.881014, 1063.256067,Single
83, 3.676613, 543.978921,Double
84, 2.224090, 899.244068,Single
84, 3.614013, 553.401466,Double
85, 2.270901, 880.707678,Single
85, 3.597067, 556.008503,Double
86, 1.843861, 1084.680391,Single
86, 3.718507, 537.850214,Double
87, 2.047987, 976.568628,Single
87, 3.676710, 543.964544,Double
88, 2.025816, 987.256408,Single
88, 3.877483, 515.798496,Double
89, 2.223505, 899.480729,Single
89, 3.794935, 527.018248,Double
90, 1.958708, 1021.081483,Single
90, 3.705337, 539.762014,Double
91, 2.225466, 898.688266,Single
91, 3.822560, 523.209558,Double
92, 2.062405, 969.741456,Single
92, 3.888081, 514.392634,Double
93, 2.206189, 906.540567,Single
93, 3.964201, 504.515324,Double
94, 1.932044, 1035.173122,Single
94, 3.828612, 522.382534,Double
95, 2.074608, 964.037462,Single
95, 3.855724, 518.709317,Double
96, 2.081080, 961.039254,Single
96, 3.886625, 514.585268,Double
97, 2.349694, 851.174841,Single
97, 3.626972, 551.424140,Double
98, 2.143460, 933.070699,Single
98, 3.989539, 501.311038,Double
99, 2.543149, 786.426707,Single
99, 4.099921, 487.814276,Double
100, 2.374266, 842.365718,Single
100, 4.046355, 494.272050,Double
101, 2.098001, 953.288448,Single
101, 3.897774, 513.113416,Double
102, 1.959728, 1020.549809,Single
102, 4.042110, 494.791051,Double
103, 1.959684, 1020.572752,Single
103, 4.157799, 481.023786,Double
104, 2.525394, 791.955729,Single
104, 3.382391, 591.297746,Double
105, 2.506868, 797.808164,Single
105, 4.165832, 480.096195,Double
106, 2.155176, 927.998552,Single
106, 4.242483, 471.422060,Double
107, 2.150790, 929.890689,Single
107, 4.215545, 474.434478,Double
108, 2.482721, 805.567700,Single
108, 4.296899, 465.451980,Double
109, 2.427688, 823.829078,Single
109, 4.307823, 464.271586,Double
110, 2.543070, 786.450901,Single
110, 4.095983, 488.283325,Double
111, 2.514559, 795.368025,Single
111, 4.202494, 475.907839,Double
112, 2.101536, 951.684719,Single
112, 4.458804, 448.550815,Double
113, 2.594805, 770.770934,Single
113, 3.912612, 511.167421,Double
114, 2.574822, 776.752592,Single
114, 4.289520, 466.252613,Double
115, 2.698379, 741.185648,Single
115, 4.261170, 469.354630,Double
116, 2.544278, 786.077544,Single
116, 4.160824, 480.674061,Double
117, 2.748017, 727.797638,Single
117, 4.373347, 457.315633,Double
118, 2.767861, 722.579737,Single
118, 4.164664, 480.230789,Double
119, 2.559158, 781.506911,Single
119, 4.495807, 444.858926,Double
120, 2.627659, 761.133724,Single
120, 4.339097, 460.925364,Double
121, 2.191045, 912.806520,Single
121, 4.476072, 446.820342,Double
122, 2.915297, 686.036549,Single
122, 4.449460, 449.492711,Double
123, 2.471092, 809.358774,Single
123, 4.828533, 414.204491,Double
124, 2.676943, 747.120828,Single
124, 4.550657, 439.496956,Double
125, 2.928543, 682.933371,Single
125, 4.508533, 443.603276,Double
126, 2.810966, 711.499262,Single
126, 4.709690, 424.656405,Double
127, 2.712975, 737.198197,Single
127, 4.688771, 426.551033,Double
128, 2.774182, 720.933218,Single
128, 4.696574, 425.842336,Double
