Number of CPUs,Seconds,GFLOPS,Precision
1, , ,Single
1, , ,Double
2, 16.328548, 122.484868,Single
2, , ,Double
3, 16.217484, 123.323692,Single
3, 14.698796, 136.065568,Double
4, 11.003311, 181.763466,Single
4, 11.352938, 176.165854,Double
5, 8.248638, 242.464268,Single
5, 8.988915, 222.496268,Double
6, 5.684036, 351.862653,Single
6, 7.475597, 267.537179,Double
7, 5.659480, 353.389388,Single
7, 6.480958, 308.596339,Double
8, 4.365008, 458.189323,Single
8, 5.889106, 339.610098,Double
9, 4.345660, 460.229314,Single
9, 5.391925, 370.925067,Double
10, 3.925370, 509.506092,Single
10, 4.877453, 410.050087,Double
11, 3.562101, 561.466330,Single
11, 4.563945, 438.217344,Double
12, 3.150202, 634.879906,Single
12, 4.357457, 458.983285,Double
13, 3.141635, 636.611136,Single
13, 4.172667, 479.309783,Double
14, 2.719088, 735.540652,Single
14, 3.957109, 505.419551,Double
15, 2.635074, 758.991877,Single
15, 3.922936, 509.822209,Double
16, 2.630103, 760.426534,Single
16, 3.956878, 505.448955,Double
17, 2.541141, 787.048050,Single
17, 3.932536, 508.577632,Double
18, 2.792887, 716.104843,Single
18, 3.610370, 553.959876,Double
19, 2.349037, 851.412590,Single
19, 3.723844, 537.079358,Double
20, 2.131530, 938.293209,Single
20, 3.543064, 564.483121,Double
21, 2.495816, 801.341210,Single
21, 3.247983, 615.766769,Double
22, 2.073288, 964.651171,Single
22, 3.366834, 594.029815,Double
23, 1.941752, 1029.997698,Single
23, 3.244306, 616.464727,Double
24, 1.927110, 1037.823521,Single
24, 3.410286, 586.461065,Double
25, 1.882644, 1062.335763,Single
25, 3.077014, 649.980793,Double
26, 1.801105, 1110.429558,Single
26, 3.243574, 616.603867,Double
27, 1.734038, 1153.377312,Single
27, 2.941716, 679.875178,Double
28, 1.816191, 1101.206002,Single
28, 3.322667, 601.926057,Double
29, 1.680268, 1190.286513,Single
29, 2.925465, 683.652056,Double
30, 1.650632, 1211.657327,Single
30, 3.156245, 633.664419,Double
31, 1.641605, 1218.320172,Single
31, 2.822628, 708.559635,Double
