Number of CPUs,Seconds,GFLOPS,Precision
32, 1.623264, 1232.085673,Single
32, 3.208957, 623.255479,Double
33, 1.663679, 1202.154629,Single
33, 2.896593, 690.466317,Double
34, 1.622594, 1232.594504,Single
34, 2.875207, 695.602094,Double
35, 1.576550, 1268.592592,Single
35, 2.833107, 705.938705,Double
36, 1.605968, 1245.354523,Single
36, 3.246348, 616.076806,Double
37, 1.586983, 1260.253261,Single
37, 2.905495, 688.350957,Double
38, 1.726557, 1158.374928,Single
38, 3.005285, 665.494393,Double
39, 1.709623, 1169.848750,Single
39, 2.919844, 684.968121,Double
40, 1.583122, 1263.326451,Single
40, 3.218277, 621.450453,Double
41, 1.577310, 1267.981825,Single
41, 2.818605, 709.570912,Double
42, 1.557188, 1284.366733,Single
42, 2.729251, 732.801913,Double
43, 1.544891, 1294.589804,Single
43, 2.754028, 726.209007,Double
44, 1.613350, 1239.656704,Single
44, 3.148821, 635.158272,Double
45, 1.668568, 1198.632523,Single
45, 2.876572, 695.271997,Double
46, 1.556178, 1285.199663,Single
46, 2.941652, 679.890076,Double
47, 1.748393, 1143.907508,Single
47, 3.000331, 666.593053,Double
48, 1.579597, 1266.145570,Single
48, 3.115616, 641.927706,Double
49, 1.563740, 1278.984964,Single
49, 2.906870, 688.025312,Double
50, 1.580874, 1265.122787,Single
50, 2.995658, 667.632865,Double
51, 1.689906, 1183.497770,Single
51, 2.786197, 717.824241,Double
52, 1.811611, 1103.989507,Single
52, 3.151880, 634.542010,Double
53, 1.894126, 1055.896014,Single
53, 3.104666, 644.191675,Double
54, 1.804645, 1108.251158,Single
54, 3.113325, 642.399945,Double
55, 1.731863, 1154.825944,Single
55, 2.862148, 698.775830,Double
56, 1.623484, 1231.918171,Single
56, 3.413301, 585.943135,Double
57, 1.935189, 1033.490851,Single
57, 3.574055, 559.588520,Double
58, 1.995828, 1002.090358,Single
58, 2.842694, 703.557982,Double
59, 1.940469, 1030.678555,Single
59, 3.147247, 635.476063,Double
60, 1.747237, 1144.664546,Single
60, 3.305278, 605.092854,Double
61, 1.906295, 1049.155473,Single
61, 2.986218, 669.743567,Double
62, 2.049012, 976.080300,Single
62, 2.803187, 713.473600,Double
63, 1.738877, 1150.167697,Single
63, 3.005788, 665.383023,Double
64, 1.735423, 1152.456622,Single
64, 3.095746, 646.047871,Double
65, 1.740574, 1149.045984,Single
65, 2.798531, 714.660638,Double
66, 1.785013, 1120.440300,Single
66, 3.051018, 655.518805,Double
67, 1.799013, 1111.720773,Single
67, 2.940555, 680.143721,Double
68, 1.930829, 1035.824257,Single
68, 3.359915, 595.253196,Double
69, 1.922053, 1040.554242,Single
69, 3.056682, 654.304284,Double
70, 1.795687, 1113.779809,Single
70, 3.199857, 625.027934,Double
71, 1.634859, 1223.347275,Single
71, 3.058215, 653.976346,Double
72, 1.734564, 1153.027724,Single
72, 3.350581, 596.911483,Double
73, 1.741839, 1148.211569,Single
73, 3.144658, 635.999172,Double
74, 2.045489, 977.761123,Single
74, 3.161648, 632.581431,Double
75, 1.839947, 1086.987552,Single
75, 3.130719, 638.830821,Double
76, 1.724443, 1159.794497,Single
76, 3.300719, 605.928640,Double
77, 1.625852, 1230.124188,Single
77, 3.045568, 656.692004,Double
78, 1.832934, 1091.146913,Single
78, 3.144833, 635.963814,Double
79, 1.956691, 1022.133914,Single
79, 3.205968, 623.836625,Double
80, 1.671188, 1196.753406,Single
80, 3.277985, 610.130893,Double
81, 1.818091, 1100.054813,Single
81, 2.756944, 725.440877,Double
82, 1.776988, 1125.500048,Single
82, 2.968921, 673.645465,Double
83, 2.366057, 845.288341,Single
83, 3.248892, 615.594462,Double
84, 1.932884, 1034.723503,Single
84, 3.292037, 607.526543,Double
85, 1.886450, 1060.192571,Single
85, 2.910190, 687.240375,Double
86, 2.107394, 949.039221,Single
86, 2.536982, 788.338155,Double
87, 2.207207, 906.122595,Single
87, 3.349374, 597.126546,Double
88, 1.759778, 1136.506949,Single
88, 3.230034, 619.188551,Double
89, 1.730701, 1155.601413,Single
89, 3.187373, 627.475982,Double
90, 1.773442, 1127.750200,Single
90, 2.884495, 693.362161,Double
91, 1.816552, 1100.987167,Single
91, 3.316653, 603.017614,Double
92, 1.836691, 1088.915021,Single
92, 3.166391, 631.633920,Double
93, 1.891119, 1057.575162,Single
93, 3.305537, 605.045476,Double
94, 1.966973, 1016.790679,Single
94, 3.153103, 634.295737,Double
95, 1.902506, 1051.244835,Single
95, 3.415624, 585.544459,Double
96, 1.842523, 1085.468275,Single
96, 3.264498, 612.651660,Double
97, 1.945831, 1027.838680,Single
97, 3.364342, 594.469846,Double
98, 2.102806, 951.110141,Single
98, 3.244383, 616.450059,Double
99, 1.981446, 1009.363780,Single
99, 3.460449, 577.959627,Double
100, 1.951898, 1024.643964,Single
100, 2.075488, 963.628841,Double
101, 1.735425, 1152.455454,Single
101, 3.396847, 588.781360,Double
102, 1.915975, 1043.855129,Single
102, 2.825529, 707.832075,Double
103, 1.835505, 1089.618370,Single
103, 3.404509, 587.456286,Double
104, 1.890878, 1057.709856,Single
104, 3.334003, 599.879505,Double
105, 1.969395, 1015.540378,Single
105, 3.494302, 572.360387,Double
106, 1.859558, 1075.524228,Single
106, 3.359915, 595.253066,Double
107, 2.695695, 741.923720,Single
107, 3.578158, 558.946789,Double
108, 1.773639, 1127.624946,Single
108, 3.288112, 608.251870,Double
109, 1.981481, 1009.345895,Single
109, 3.345194, 597.872641,Double
110, 1.914992, 1044.390630,Single
110, 3.339081, 598.967151,Double
111, 1.744816, 1146.252614,Single
111, 3.594192, 556.453376,Double
112, 1.862856, 1073.620493,Single
112, 3.313769, 603.542409,Double
113, 2.203009, 907.849294,Single
113, 3.242957, 616.721024,Double
114, 2.444967, 818.006798,Single
114, 3.124432, 640.116443,Double
115, 2.367101, 844.915214,Single
115, 3.711894, 538.808512,Double
116, 2.532092, 789.860822,Single
116, 3.480832, 574.575238,Double
117, 2.170463, 921.462333,Single
117, 3.927115, 509.279770,Double
118, 2.063193, 969.371295,Single
118, 2.706176, 739.050360,Double
119, 1.968589, 1015.956336,Single
119, 3.793460, 527.223224,Double
120, 1.988105, 1005.983323,Single
120, 3.375100, 592.574988,Double
121, 2.034269, 983.154240,Single
121, 3.814741, 524.281989,Double
122, 1.802995, 1109.265347,Single
122, 3.509905, 569.815922,Double
123, 3.222917, 620.555895,Single
123, 3.677598, 543.833193,Double
124, 2.279827, 877.259403,Single
124, 2.975872, 672.071807,Double
125, 2.564550, 779.863920,Single
125, 3.737179, 535.163035,Double
126, 2.106271, 949.545274,Single
126, 3.539783, 565.006418,Double
127, 1.968795, 1015.849941,Single
127, 3.958254, 505.273345,Double
128, 2.145483, 932.190893,Single
128, 3.334194, 599.845104,Double
